@relation 'acciones'
@attribute 'accion' { 'luz', 'calefaccion', 'aire-acondicionado', 'planchado', 'secado'}
@attribute 'estancia' {'salon', 'cocina', 'dormitorio_principal', 'pasillo', 'dormitorio_secundario' }
@attribute 'tiempo' numeric
@attribute 'tarifa' numeric
@attribute 'usuario' {'u1','u2','u3','u4'}
@data
'luz','pasillo',103,0.139,'u1'
'luz','salon',57,0.15,'u1'
'luz','pasillo',55,0.139,'u1'
'calefaccion','dormitorio_principal',75,0.099,'u1'
'calefaccion','salon',118,0.139,'u1'
'luz','dormitorio_principal',12,0.139,'u1'
'luz','cocina',59,0.099,'u1'
'planchado','salon',72,0.15,'u1'
'calefaccion','dormitorio_secundario',15,0.139,'u1'
'secado','dormitorio_secundario',86,0.099,'u1'
'luz','pasillo',100,0.099,'u1'
'calefaccion','dormitorio_secundario',118,0.15,'u1'
'planchado','pasillo',102,0.099,'u1'
'luz','dormitorio_secundario',101,0.139,'u1'
'luz','dormitorio_principal',26,0.15,'u1'
'secado','cocina',69,0.15,'u1'
'planchado','cocina',103,0.15,'u1'
'secado','pasillo',14,0.139,'u1'
'calefaccion','cocina',46,0.15,'u1'
'secado','salon',56,0.15,'u1'
'secado','dormitorio_secundario',86,0.099,'u1'
'secado','salon',101,0.15,'u1'
'secado','cocina',89,0.15,'u1'
'luz','pasillo',75,0.099,'u1'
'luz','dormitorio_principal',40,0.099,'u1'
'planchado','dormitorio_principal',40,0.139,'u1'
'luz','cocina',58,0.099,'u1'
'calefaccion','salon',26,0.139,'u1'
'planchado','dormitorio_secundario',3,0.139,'u1'
'luz','dormitorio_principal',94,0.15,'u1'
'calefaccion','cocina',11,0.139,'u1'
'luz','dormitorio_principal',26,0.099,'u1'
'planchado','dormitorio_secundario',5,0.15,'u1'
'planchado','salon',47,0.15,'u1'
'calefaccion','cocina',96,0.15,'u1'
'secado','dormitorio_secundario',4,0.099,'u1'
'secado','salon',68,0.15,'u1'
'planchado','pasillo',59,0.15,'u1'
'secado','dormitorio_secundario',10,0.139,'u1'
'secado','dormitorio_secundario',90,0.15,'u1'
'planchado','dormitorio_principal',34,0.15,'u1'
'planchado','dormitorio_principal',116,0.099,'u1'
'secado','cocina',37,0.099,'u1'
'calefaccion','cocina',52,0.139,'u1'
'planchado','pasillo',59,0.099,'u1'
'calefaccion','dormitorio_secundario',20,0.099,'u1'
'planchado','cocina',94,0.099,'u1'
'planchado','dormitorio_secundario',107,0.099,'u1'
'secado','salon',96,0.139,'u1'
'calefaccion','cocina',119,0.15,'u1'
'luz','salon',71,0.139,'u1'
'secado','dormitorio_principal',98,0.15,'u1'
'calefaccion','dormitorio_principal',9,0.139,'u1'
'luz','salon',68,0.139,'u1'
'planchado','dormitorio_secundario',20,0.139,'u1'
'secado','cocina',105,0.139,'u1'
'luz','pasillo',78,0.15,'u1'
'planchado','dormitorio_principal',56,0.139,'u1'
'luz','pasillo',118,0.15,'u1'
'planchado','dormitorio_secundario',18,0.139,'u1'
'secado','dormitorio_principal',73,0.139,'u1'
'luz','dormitorio_secundario',9,0.15,'u1'
'luz','dormitorio_secundario',2,0.139,'u1'
'secado','dormitorio_secundario',3,0.099,'u1'
'planchado','dormitorio_principal',35,0.15,'u1'
'calefaccion','dormitorio_principal',48,0.15,'u1'
'planchado','salon',91,0.15,'u1'
'luz','pasillo',81,0.099,'u1'
'planchado','dormitorio_secundario',88,0.099,'u1'
'planchado','salon',23,0.139,'u1'
'luz','salon',116,0.099,'u1'
'luz','salon',84,0.099,'u1'
'calefaccion','salon',89,0.139,'u1'
'luz','pasillo',26,0.099,'u1'
'secado','salon',79,0.099,'u1'
'calefaccion','cocina',117,0.15,'u1'
'luz','salon',14,0.139,'u1'
'calefaccion','cocina',91,0.139,'u1'
'secado','cocina',6,0.099,'u1'
'planchado','salon',58,0.099,'u1'
'luz','dormitorio_principal',27,0.139,'u1'
'luz','cocina',25,0.15,'u1'
'planchado','cocina',19,0.139,'u1'
'secado','pasillo',34,0.099,'u1'
'secado','dormitorio_principal',86,0.099,'u1'
'planchado','dormitorio_secundario',79,0.139,'u1'
'secado','salon',69,0.15,'u1'
'luz','dormitorio_principal',109,0.15,'u1'
'luz','cocina',1,0.139,'u1'
'luz','cocina',32,0.099,'u1'
'calefaccion','dormitorio_secundario',107,0.15,'u1'
'luz','dormitorio_principal',5,0.139,'u1'
'secado','dormitorio_secundario',54,0.099,'u1'
'planchado','salon',95,0.139,'u1'
'luz','pasillo',6,0.139,'u1'
'planchado','dormitorio_secundario',13,0.15,'u1'
'luz','dormitorio_principal',11,0.15,'u1'
'planchado','cocina',71,0.15,'u1'
'luz','pasillo',25,0.099,'u1'
'planchado','cocina',37,0.15,'u1'
'planchado','pasillo',6,0.099,'u1'
'secado','pasillo',77,0.139,'u1'
'secado','pasillo',107,0.139,'u1'
'calefaccion','dormitorio_principal',81,0.15,'u1'
'luz','dormitorio_secundario',81,0.15,'u1'
'luz','dormitorio_principal',119,0.099,'u1'
'luz','dormitorio_secundario',22,0.099,'u1'
'secado','dormitorio_principal',6,0.099,'u1'
'secado','cocina',41,0.139,'u1'
'secado','cocina',86,0.139,'u1'
'secado','salon',16,0.099,'u1'
'planchado','salon',42,0.15,'u1'
'calefaccion','dormitorio_principal',13,0.139,'u1'
'luz','salon',113,0.099,'u1'
'calefaccion','dormitorio_principal',42,0.15,'u1'
'planchado','dormitorio_principal',28,0.099,'u1'
'secado','salon',90,0.139,'u1'
'luz','dormitorio_principal',99,0.139,'u1'
'secado','dormitorio_principal',109,0.099,'u1'
'luz','dormitorio_principal',62,0.099,'u1'
'luz','pasillo',22,0.099,'u1'
'planchado','cocina',10,0.099,'u1'
'calefaccion','dormitorio_principal',14,0.139,'u1'
'planchado','pasillo',54,0.099,'u1'
'secado','dormitorio_principal',8,0.15,'u1'
'luz','salon',76,0.099,'u1'
'calefaccion','pasillo',8,0.139,'u1'
'luz','dormitorio_secundario',66,0.099,'u1'
'luz','dormitorio_secundario',13,0.099,'u1'
'calefaccion','salon',27,0.15,'u1'
'secado','salon',59,0.099,'u1'
'planchado','pasillo',107,0.15,'u1'
'planchado','pasillo',6,0.099,'u1'
'planchado','salon',98,0.099,'u1'
'luz','dormitorio_principal',64,0.15,'u1'
'planchado','dormitorio_principal',45,0.099,'u1'
'luz','dormitorio_secundario',114,0.139,'u1'
'calefaccion','salon',10,0.099,'u1'
'secado','dormitorio_principal',82,0.15,'u1'
'luz','pasillo',97,0.139,'u1'
'calefaccion','cocina',120,0.139,'u1'
'calefaccion','pasillo',86,0.139,'u1'
'luz','pasillo',67,0.099,'u1'
'planchado','salon',75,0.099,'u1'
'luz','pasillo',40,0.099,'u1'
'planchado','cocina',110,0.15,'u1'
'planchado','pasillo',119,0.15,'u1'
'planchado','dormitorio_secundario',107,0.15,'u1'
'calefaccion','salon',64,0.15,'u1'
'secado','pasillo',11,0.15,'u1'
'secado','dormitorio_secundario',81,0.15,'u1'
'calefaccion','salon',27,0.139,'u1'
'secado','dormitorio_secundario',67,0.15,'u1'
'secado','dormitorio_secundario',115,0.099,'u1'
'luz','dormitorio_secundario',22,0.15,'u1'
'secado','pasillo',8,0.15,'u1'
'planchado','dormitorio_principal',117,0.15,'u1'
'planchado','salon',24,0.15,'u1'
'secado','pasillo',106,0.15,'u1'
'luz','dormitorio_principal',78,0.139,'u1'
'calefaccion','salon',9,0.139,'u1'
'calefaccion','cocina',13,0.139,'u1'
'luz','cocina',44,0.139,'u1'
'calefaccion','dormitorio_principal',9,0.099,'u1'
'secado','pasillo',39,0.15,'u1'
'planchado','pasillo',31,0.099,'u1'
'luz','dormitorio_secundario',68,0.15,'u1'
'planchado','dormitorio_principal',40,0.139,'u1'
'secado','salon',36,0.139,'u1'
'planchado','dormitorio_secundario',30,0.099,'u1'
'secado','salon',78,0.139,'u1'
'calefaccion','salon',14,0.139,'u1'
'luz','salon',27,0.15,'u1'
'luz','pasillo',56,0.15,'u1'
'secado','cocina',34,0.099,'u1'
'luz','dormitorio_secundario',99,0.15,'u1'
'planchado','dormitorio_principal',75,0.099,'u1'
'planchado','cocina',9,0.139,'u1'
'luz','dormitorio_principal',25,0.15,'u1'
'calefaccion','pasillo',58,0.15,'u1'
'luz','pasillo',105,0.15,'u1'
'calefaccion','dormitorio_principal',118,0.15,'u1'
'secado','dormitorio_secundario',17,0.15,'u1'
'planchado','pasillo',115,0.15,'u1'
'luz','pasillo',7,0.15,'u1'
'planchado','salon',41,0.15,'u1'
'secado','dormitorio_principal',16,0.15,'u1'
'luz','dormitorio_secundario',59,0.15,'u1'
'calefaccion','pasillo',95,0.15,'u1'
'luz','salon',47,0.15,'u1'
'planchado','pasillo',39,0.099,'u1'
'luz','dormitorio_principal',49,0.15,'u1'
'calefaccion','dormitorio_secundario',10,0.139,'u1'
'secado','dormitorio_secundario',17,0.139,'u1'
'planchado','dormitorio_principal',32,0.139,'u1'
'luz','pasillo',74,0.099,'u1'
'planchado','pasillo',104,0.139,'u1'
'secado','pasillo',105,0.139,'u1'
'secado','pasillo',10,0.139,'u1'
'secado','dormitorio_principal',37,0.15,'u1'
'luz','cocina',35,0.099,'u1'
'planchado','dormitorio_secundario',32,0.099,'u1'
'calefaccion','pasillo',58,0.139,'u1'
'secado','dormitorio_principal',6,0.099,'u1'
'luz','dormitorio_secundario',39,0.15,'u1'
'calefaccion','cocina',99,0.15,'u1'
'calefaccion','cocina',18,0.139,'u1'
'planchado','dormitorio_principal',89,0.15,'u1'
'luz','salon',1,0.15,'u1'
'planchado','pasillo',88,0.15,'u1'
'luz','dormitorio_secundario',108,0.139,'u1'
'planchado','salon',85,0.15,'u1'
'luz','cocina',119,0.15,'u1'
'luz','cocina',55,0.139,'u1'
'planchado','pasillo',63,0.099,'u1'
'luz','dormitorio_secundario',35,0.15,'u1'
'calefaccion','dormitorio_secundario',26,0.099,'u1'
'planchado','salon',13,0.099,'u1'
'calefaccion','pasillo',109,0.099,'u1'
'luz','pasillo',25,0.15,'u1'
'secado','salon',63,0.099,'u1'
'secado','cocina',97,0.099,'u1'
'luz','dormitorio_secundario',46,0.099,'u1'
'luz','cocina',108,0.15,'u1'
'secado','cocina',30,0.099,'u1'
'planchado','dormitorio_secundario',71,0.15,'u1'
'planchado','cocina',41,0.099,'u1'
'calefaccion','cocina',5,0.099,'u1'
'planchado','salon',36,0.139,'u1'
'secado','dormitorio_secundario',116,0.15,'u1'
'secado','dormitorio_secundario',91,0.099,'u1'
'calefaccion','dormitorio_secundario',4,0.15,'u1'
'luz','dormitorio_secundario',103,0.15,'u1'
'luz','pasillo',40,0.15,'u1'
'secado','salon',32,0.15,'u1'
'calefaccion','pasillo',67,0.099,'u1'
'calefaccion','pasillo',45,0.099,'u1'
'planchado','dormitorio_secundario',21,0.15,'u1'
'calefaccion','dormitorio_secundario',96,0.139,'u1'
'secado','cocina',106,0.15,'u1'
'calefaccion','dormitorio_secundario',57,0.099,'u1'
'calefaccion','cocina',68,0.139,'u1'
'planchado','pasillo',49,0.099,'u1'
'planchado','cocina',89,0.139,'u1'
'secado','salon',22,0.099,'u1'
'planchado','pasillo',116,0.15,'u1'
'planchado','salon',101,0.099,'u1'
'secado','pasillo',30,0.15,'u1'
'planchado','pasillo',19,0.15,'u1'
'luz','salon',16,0.099,'u1'
'secado','cocina',114,0.139,'u1'
'luz','cocina',24,0.099,'u1'
'luz','salon',70,0.099,'u1'
'calefaccion','dormitorio_principal',5,0.15,'u1'
'secado','salon',46,0.099,'u1'
'planchado','salon',90,0.15,'u1'
'calefaccion','pasillo',10,0.15,'u1'
'secado','salon',86,0.15,'u1'
'luz','cocina',87,0.099,'u1'
'secado','cocina',50,0.099,'u1'
'secado','dormitorio_secundario',41,0.099,'u1'
'secado','pasillo',114,0.139,'u1'
'secado','dormitorio_secundario',36,0.099,'u1'
'luz','cocina',108,0.15,'u1'
'secado','dormitorio_principal',95,0.099,'u1'
'luz','salon',34,0.139,'u1'
'luz','dormitorio_principal',112,0.099,'u1'
'luz','pasillo',20,0.15,'u1'
'secado','dormitorio_secundario',98,0.15,'u1'
'secado','pasillo',101,0.15,'u1'
'luz','pasillo',107,0.139,'u1'
'planchado','salon',116,0.139,'u1'
'secado','cocina',17,0.15,'u1'
'secado','salon',39,0.15,'u1'
'planchado','cocina',10,0.099,'u1'
'secado','cocina',115,0.139,'u1'
'planchado','dormitorio_secundario',102,0.15,'u1'
'planchado','salon',70,0.139,'u1'
'calefaccion','pasillo',63,0.15,'u1'
'secado','pasillo',91,0.139,'u1'
'planchado','salon',38,0.099,'u1'
'planchado','dormitorio_principal',34,0.099,'u1'
'planchado','pasillo',71,0.15,'u1'
'calefaccion','pasillo',91,0.15,'u1'
'planchado','cocina',115,0.099,'u1'
'planchado','dormitorio_principal',27,0.139,'u1'
'secado','dormitorio_secundario',62,0.15,'u1'
'secado','dormitorio_secundario',62,0.15,'u1'
'luz','pasillo',42,0.099,'u1'
'planchado','dormitorio_secundario',39,0.15,'u1'
'planchado','pasillo',68,0.099,'u1'
'planchado','salon',45,0.099,'u1'
'secado','cocina',51,0.139,'u1'
'calefaccion','cocina',39,0.15,'u1'
'secado','pasillo',86,0.15,'u1'
'planchado','dormitorio_secundario',22,0.139,'u1'
'planchado','salon',41,0.139,'u1'
'secado','salon',95,0.139,'u1'
'calefaccion','cocina',49,0.15,'u1'
'planchado','cocina',84,0.15,'u1'
'luz','pasillo',79,0.099,'u1'
'secado','dormitorio_secundario',16,0.099,'u1'
'luz','salon',109,0.139,'u1'
'luz','salon',95,0.099,'u1'
'planchado','pasillo',76,0.139,'u1'
'luz','dormitorio_secundario',1,0.15,'u1'
'luz','dormitorio_secundario',82,0.139,'u1'
'calefaccion','pasillo',89,0.15,'u1'
'luz','cocina',84,0.099,'u1'
'luz','dormitorio_secundario',10,0.139,'u1'
'calefaccion','dormitorio_principal',55,0.139,'u1'
'luz','cocina',68,0.139,'u1'
'planchado','salon',17,0.139,'u1'
'secado','dormitorio_secundario',102,0.099,'u1'
'secado','cocina',102,0.15,'u1'
'calefaccion','cocina',114,0.15,'u1'
'luz','salon',50,0.15,'u1'
'secado','dormitorio_principal',18,0.099,'u1'
'secado','pasillo',4,0.099,'u1'
'secado','cocina',54,0.099,'u1'
'secado','dormitorio_principal',18,0.15,'u1'
'calefaccion','dormitorio_principal',41,0.15,'u1'
'planchado','pasillo',4,0.099,'u1'
'luz','salon',93,0.099,'u1'
'luz','dormitorio_principal',93,0.15,'u1'
'planchado','dormitorio_principal',70,0.139,'u1'
'planchado','cocina',84,0.099,'u1'
'luz','dormitorio_principal',64,0.139,'u1'
'calefaccion','dormitorio_principal',42,0.139,'u1'
'calefaccion','dormitorio_secundario',48,0.099,'u1'
'planchado','cocina',83,0.15,'u1'
'luz','pasillo',33,0.139,'u1'
'luz','salon',63,0.15,'u1'
'planchado','pasillo',115,0.099,'u1'
'luz','pasillo',74,0.15,'u1'
'planchado','pasillo',40,0.139,'u1'
'calefaccion','salon',29,0.099,'u1'
'planchado','salon',64,0.099,'u1'
'luz','dormitorio_principal',82,0.15,'u1'
'luz','dormitorio_principal',105,0.099,'u1'
'calefaccion','dormitorio_principal',83,0.15,'u1'
'luz','salon',110,0.15,'u1'
'planchado','dormitorio_secundario',17,0.15,'u1'
'calefaccion','salon',1,0.15,'u1'
'calefaccion','cocina',56,0.099,'u1'
'calefaccion','cocina',70,0.139,'u1'
'secado','pasillo',103,0.15,'u1'
'planchado','dormitorio_principal',28,0.15,'u1'
'planchado','salon',98,0.139,'u1'
'planchado','salon',69,0.139,'u1'
'luz','salon',10,0.139,'u1'
'luz','pasillo',99,0.099,'u1'
'planchado','dormitorio_secundario',105,0.139,'u1'
'calefaccion','salon',28,0.099,'u1'
'calefaccion','cocina',1,0.15,'u1'
'luz','dormitorio_principal',26,0.139,'u1'
'planchado','salon',93,0.15,'u1'
'planchado','dormitorio_secundario',57,0.15,'u1'
'secado','dormitorio_secundario',27,0.139,'u1'
'calefaccion','dormitorio_secundario',117,0.139,'u1'
'secado','dormitorio_secundario',56,0.15,'u1'
'planchado','pasillo',74,0.099,'u1'
'luz','salon',15,0.139,'u1'
'planchado','salon',65,0.099,'u1'
'secado','dormitorio_principal',86,0.139,'u1'
'planchado','cocina',108,0.15,'u1'
'luz','salon',38,0.099,'u1'
'calefaccion','salon',99,0.139,'u1'
'luz','salon',7,0.099,'u1'
'calefaccion','dormitorio_secundario',102,0.099,'u1'
'planchado','pasillo',23,0.139,'u1'
'planchado','dormitorio_secundario',78,0.15,'u1'
'luz','cocina',9,0.139,'u1'
'planchado','salon',63,0.15,'u1'
'secado','dormitorio_principal',118,0.099,'u1'
'calefaccion','salon',20,0.15,'u1'
'calefaccion','cocina',118,0.15,'u1'
'calefaccion','pasillo',118,0.139,'u1'
'luz','salon',90,0.15,'u1'
'secado','salon',52,0.099,'u1'
'secado','dormitorio_principal',47,0.099,'u1'
'secado','dormitorio_principal',57,0.15,'u1'
'calefaccion','pasillo',117,0.099,'u1'
'calefaccion','dormitorio_secundario',28,0.15,'u1'
'luz','dormitorio_principal',7,0.15,'u1'
'luz','pasillo',82,0.099,'u1'
'luz','dormitorio_secundario',111,0.099,'u1'
'luz','pasillo',29,0.139,'u1'
'calefaccion','dormitorio_secundario',91,0.15,'u1'
'secado','pasillo',35,0.139,'u1'
'secado','dormitorio_secundario',6,0.15,'u1'
'secado','dormitorio_principal',60,0.15,'u1'
'planchado','pasillo',57,0.139,'u1'
'luz','salon',56,0.099,'u1'
'secado','salon',119,0.15,'u1'
'secado','dormitorio_secundario',112,0.099,'u1'
'luz','dormitorio_principal',117,0.15,'u1'
'secado','salon',39,0.15,'u1'
'planchado','cocina',60,0.15,'u1'
'secado','dormitorio_principal',70,0.139,'u1'
'planchado','cocina',102,0.15,'u1'
'calefaccion','dormitorio_principal',15,0.139,'u1'
'planchado','pasillo',117,0.099,'u1'
'luz','cocina',100,0.15,'u1'
'planchado','salon',29,0.139,'u1'
'calefaccion','dormitorio_secundario',18,0.099,'u1'
'luz','dormitorio_principal',119,0.15,'u1'
'luz','salon',16,0.139,'u1'
'planchado','dormitorio_principal',48,0.15,'u1'
'secado','dormitorio_principal',79,0.099,'u1'
'luz','cocina',44,0.139,'u1'
'luz','pasillo',2,0.099,'u1'
'calefaccion','dormitorio_principal',88,0.099,'u1'
'planchado','dormitorio_secundario',46,0.099,'u1'
'luz','cocina',70,0.15,'u1'
'calefaccion','salon',104,0.139,'u1'
'luz','dormitorio_principal',2,0.15,'u1'
'luz','dormitorio_secundario',107,0.139,'u1'
'calefaccion','dormitorio_secundario',119,0.15,'u1'
'secado','dormitorio_secundario',120,0.139,'u1'
'calefaccion','pasillo',23,0.139,'u1'
'luz','salon',4,0.099,'u1'
'calefaccion','pasillo',33,0.099,'u1'
'calefaccion','salon',52,0.15,'u1'
'calefaccion','dormitorio_secundario',65,0.139,'u1'
'planchado','pasillo',103,0.099,'u1'
'planchado','pasillo',28,0.139,'u1'
'secado','salon',6,0.15,'u1'
'luz','salon',98,0.15,'u1'
'calefaccion','dormitorio_secundario',95,0.139,'u1'
'secado','dormitorio_secundario',72,0.139,'u1'
'calefaccion','salon',115,0.099,'u1'
'planchado','salon',45,0.15,'u1'
'planchado','dormitorio_principal',68,0.099,'u1'
'secado','salon',13,0.099,'u1'
'calefaccion','dormitorio_secundario',50,0.15,'u1'
'secado','pasillo',87,0.139,'u1'
'secado','cocina',82,0.15,'u1'
'secado','salon',6,0.15,'u1'
'luz','cocina',50,0.099,'u1'
'secado','dormitorio_secundario',55,0.139,'u1'
'calefaccion','cocina',27,0.099,'u1'
'luz','cocina',15,0.15,'u1'
'luz','dormitorio_secundario',31,0.139,'u1'
'planchado','dormitorio_secundario',92,0.139,'u1'
'luz','pasillo',44,0.15,'u1'
'luz','dormitorio_secundario',73,0.099,'u1'
'planchado','dormitorio_principal',13,0.099,'u1'
'calefaccion','dormitorio_principal',101,0.099,'u1'
'luz','dormitorio_principal',62,0.139,'u1'
'calefaccion','salon',36,0.099,'u1'
'secado','dormitorio_principal',61,0.099,'u1'
'calefaccion','pasillo',14,0.139,'u1'
'luz','cocina',84,0.099,'u1'
'planchado','cocina',108,0.15,'u1'
'planchado','cocina',22,0.139,'u1'
'calefaccion','dormitorio_principal',107,0.15,'u1'
'secado','dormitorio_principal',48,0.15,'u1'
'calefaccion','dormitorio_principal',10,0.139,'u1'
'secado','dormitorio_secundario',8,0.15,'u1'
'secado','cocina',89,0.15,'u1'
'calefaccion','dormitorio_principal',22,0.099,'u1'
'luz','pasillo',1,0.099,'u1'
'secado','dormitorio_principal',67,0.099,'u1'
'secado','dormitorio_principal',25,0.15,'u1'
'planchado','pasillo',81,0.15,'u1'
'secado','dormitorio_secundario',1,0.139,'u1'
'luz','pasillo',114,0.139,'u1'
'secado','salon',73,0.099,'u1'
'secado','dormitorio_principal',23,0.139,'u1'
'planchado','dormitorio_secundario',94,0.099,'u1'
'planchado','pasillo',23,0.099,'u1'
'planchado','pasillo',65,0.15,'u1'
'planchado','dormitorio_secundario',117,0.139,'u1'
'planchado','salon',42,0.139,'u1'
'calefaccion','salon',24,0.139,'u1'
'luz','cocina',88,0.15,'u1'
'calefaccion','salon',106,0.15,'u1'
'secado','pasillo',87,0.15,'u1'
'planchado','dormitorio_secundario',98,0.15,'u1'
'secado','dormitorio_principal',20,0.139,'u1'
'secado','pasillo',95,0.139,'u1'
'luz','pasillo',80,0.139,'u1'
'calefaccion','salon',105,0.099,'u1'
'planchado','salon',14,0.139,'u1'
'planchado','salon',37,0.099,'u1'
'luz','salon',13,0.15,'u1'
'calefaccion','salon',54,0.099,'u1'
'planchado','salon',35,0.099,'u1'
'luz','dormitorio_principal',98,0.099,'u1'
'calefaccion','cocina',42,0.099,'u1'
'luz','salon',102,0.15,'u1'
'calefaccion','salon',116,0.099,'u1'
'luz','dormitorio_secundario',82,0.099,'u1'
'luz','dormitorio_principal',19,0.15,'u1'
'planchado','dormitorio_secundario',117,0.099,'u1'
'calefaccion','dormitorio_secundario',46,0.139,'u1'
'luz','dormitorio_secundario',101,0.15,'u1'
'secado','cocina',51,0.15,'u1'
'planchado','pasillo',48,0.139,'u1'
'luz','dormitorio_principal',41,0.15,'u1'
'planchado','dormitorio_secundario',50,0.15,'u1'
'secado','cocina',8,0.099,'u1'
'luz','dormitorio_secundario',112,0.099,'u1'
'calefaccion','pasillo',93,0.099,'u1'
'secado','pasillo',55,0.139,'u1'
